0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,2
13,2
14,2
15,0
16,0
17,0
18,2
19,0
20,0
21,2
22,0
23,2
24,0
25,0
26,3
27,2
28,3
29,2
30,0
31,2
32,2
33,2
34,2
35,2
36,2
37,0
38,0
39,0
40,4
41,4
42,0
43,2
44,0
45,0
46,0
47,0
48,2
49,0
50,0
51,2
52,3
53,0
54,0
55,2
56,2
57,2
58,0
59,0
60,2
61,1
62,0
63,0
64,3
65,5
66,5
67,5
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,3
77,2
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,1
87,2
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,2
96,1
97,0
98,4
99,1
100,1
101,0
102,1
103,0
104,4
105,0
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,3
119,1
120,0
121,0
122,1
123,4
124,3
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,1
133,3
134,3
135,1
136,1
137,1
138,0
139,0
140,1
141,1
142,1
143,5
144,0
145,2
146,4
147,1
148,1
149,0
150,4
151,5
152,1
153,3
154,1
155,0
156,1
157,0
158,2
159,2
160,1
161,0
162,1
163,5
164,0
165,1
166,1
167,1
168,2
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,1
182,0
183,0
184,1
185,1
186,0
187,0
188,1
189,1
